Datetime,Open,High,Low,Close,Volume,IsGap
2000-01-03 00:00:00-05:00,94.49,94.49,91.7,92.69,8164300,False
2000-01-04 00:00:00-05:00,91.48,91.82,89.0,89.07,8089800,False
2000-01-05 00:00:00-05:00,89.19,90.2,87.47,89.23,12177900,False
2000-01-06 00:00:00-05:00,88.99,90.18,87.79,87.79,6227200,False
2000-01-07 00:00:00-05:00,89.43,92.89,89.27,92.89,8066500,False
2000-01-10 00:00:00-05:00,93.21,93.63,92.43,93.21,5741700,False
2000-01-11 00:00:00-05:00,92.93,93.11,91.46,92.1,7503700,False
2000-01-12 00:00:00-05:00,92.16,92.16,91.06,91.18,6907700,False
2000-01-13 00:00:00-05:00,92.08,92.89,91.32,92.41,5158300,False
2000-01-14 00:00:00-05:00,93.39,93.99,93.03,93.67,7437300,False
2000-01-18 00:00:00-05:00,92.63,93.45,92.53,92.93,6488500,False
2000-01-19 00:00:00-05:00,92.61,93.69,92.41,93.69,6157900,False
2000-01-20 00:00:00-05:00,93.67,93.67,91.66,92.25,5800100,False
2000-01-21 00:00:00-05:00,92.73,92.73,91.82,92.06,6244800,False
2000-01-24 00:00:00-05:00,92.83,92.95,88.85,89.45,7896900,False
2000-01-25 00:00:00-05:00,89.56,90.46,88.59,90.46,9942500,False
2000-01-26 00:00:00-05:00,89.86,90.21,89.29,89.75,5158100,False
2000-01-27 00:00:00-05:00,90.4,90.64,88.03,89.39,10922700,False
2000-01-28 00:00:00-05:00,88.87,89.27,86.38,86.6,11916200,False
2000-01-31 00:00:00-05:00,86.56,89.02,86.04,88.95,10768700,False
2000-02-01 00:00:00-05:00,89.07,90.3,88.29,89.82,8419900,False
2000-02-02 00:00:00-05:00,90.04,90.66,89.47,89.9,6205900,False
2000-02-03 00:00:00-05:00,89.79,91.3,89.23,91.26,7997500,False
2000-02-04 00:00:00-05:00,91.26,91.78,90.58,90.88,4925400,False
2000-02-07 00:00:00-05:00,90.86,91.0,90.14,90.74,5845800,False
2000-02-08 00:00:00-05:00,91.76,92.14,91.54,91.98,4936400,False
2000-02-09 00:00:00-05:00,92.08,92.08,90.03,90.04,8511500,False
2000-02-10 00:00:00-05:00,90.26,90.86,89.79,90.22,6690600,False
2000-02-11 00:00:00-05:00,90.4,90.46,87.97,88.39,9849800,False
2000-02-14 00:00:00-05:00,89.09,89.09,88.15,88.91,8528800,False
2000-02-15 00:00:00-05:00,88.75,90.0,87.82,89.91,11078300,False
2000-02-16 00:00:00-05:00,89.47,89.82,88.46,88.59,8845400,False
2000-02-17 00:00:00-05:00,89.51,89.51,88.09,88.13,7584200,False
2000-02-18 00:00:00-05:00,88.51,88.51,85.8,86.24,9409200,False
2000-02-22 00:00:00-05:00,86.16,86.9,85.1,86.02,16415400,False
2000-02-23 00:00:00-05:00,86.44,87.61,85.72,87.04,12119000,False
2000-02-24 00:00:00-05:00,87.12,87.34,84.83,85.28,17375000,False
2000-02-25 00:00:00-05:00,86.16,87.14,84.85,84.98,10559900,False
2000-02-28 00:00:00-05:00,85.01,87.12,84.59,86.76,13397800,False
2000-02-29 00:00:00-05:00,86.72,87.59,86.52,87.59,8242500,False
2000-03-01 00:00:00-05:00,87.71,88.59,87.45,88.23,6868000,False
2000-03-02 00:00:00-05:00,88.39,88.67,87.53,88.29,7600200,False
2000-03-03 00:00:00-05:00,89.51,90.32,89.05,89.94,12770300,False
2000-03-06 00:00:00-05:00,89.75,90.08,88.43,89.07,11967100,False
2000-03-07 00:00:00-05:00,89.23,89.33,86.18,87.35,20062000,False
2000-03-08 00:00:00-05:00,86.98,87.85,86.06,87.24,11808500,False
2000-03-09 00:00:00-05:00,87.47,89.79,86.76,89.79,5500900,False
2000-03-10 00:00:00-05:00,89.35,90.5,88.93,89.31,7924600,False
